Id,Name,StockQuantity,Description,Review,PurchasePrice,RetailPrice,Markup,TotalPurchaseValue,TotalRetailValue,SoldQuantity,TotalQuantity,Location,Labels,Tags,UpdatedOn
30,clutch plate dt 124,1,"This is a Test  Description, for every item in the list.",,13500,19500,30.77%,13500,19500,0,1,,,,1/18/2025
31,china dt 130,1,"This is a Test  Description, for every item in the list.",,8500,13500,37.04%,8500,13500,0,1,,,,1/18/2025
32,rear hub corolla 96,2,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,5000,7000,0,2,,,,1/18/2025
33,gear foundation ssr,1,"This is a Test  Description, for every item in the list.",,3000,5000,40.00%,3000,5000,0,1,,,,1/18/2025
34,clutch plate mix gli hiace,11,"This is a Test  Description, for every item in the list.",9,2600,4500,42.22%,28600,49500,0,11,c5,,,1/18/2025
35,fuel filter T2,6,"This is a Test  Description, for every item in the list.",,300,500,40.00%,1800,3000,0,6,,,,1/18/2025
36,Air Filter Jali gli,12,"This is a Test  Description, for every item in the list.",8,300,400,25.00%,3600,4800,0,12,d5,,,1/18/2025
37,air filter vitz,6,"This is a Test  Description, for every item in the list.",,300,500,40.00%,1800,3000,0,6,d5,,,1/18/2025
38,goda boot xli,3,"This is a Test  Description, for every item in the list.",,300,600,50.00%,900,1800,0,3,c1,,,1/18/2025
39,goda cross boot xli,3,"This is a Test  Description, for every item in the list.",,300,600,50.00%,900,1800,0,3,,,,1/18/2025
40,string box boot gli,3,"This is a Test  Description, for every item in the list.",,300,600,50.00%,900,1800,0,3,,,,1/18/2025
41,string box boot corolla 96,3,"This is a Test  Description, for every item in the list.",,300,600,50.00%,900,1800,0,3,,,,1/18/2025
42,carburettor cylinder small,6,"This is a Test  Description, for every item in the list.",,280,400,30.00%,1680,2400,0,6,,,,1/18/2025
43,carburettor cylinder large,2,"This is a Test  Description, for every item in the list.",,480,800,40.00%,960,1600,0,2,,,,1/18/2025
44,D4D,1,"This is a Test  Description, for every item in the list.",,550,1000,45.00%,550,1000,0,1,,,,1/18/2025
45,VXR gasket,3,"This is a Test  Description, for every item in the list.",,400,800,50.00%,1200,2400,0,3,d2,,,1/18/2025
46,Corolla Gasket Loha Wala (Steel),3,"This is a Test  Description, for every item in the list.",,1200,1800,33.33%,3600,5400,0,3,,,,1/18/2025
47,Gate Wak Corolla,2,"This is a Test  Description, for every item in the list.",,800,1500,46.67%,1600,3000,0,2,,,,1/18/2025
48,Gasket 3L CT,2,"This is a Test  Description, for every item in the list.",,1500,2500,40.00%,3000,5000,0,2,,,,1/18/2025
49,Gasket 2C CT,3,"This is a Test  Description, for every item in the list.",,1500,2500,40.00%,4500,7500,0,3,,,,1/18/2025
50,NK Brake shoes 2342,6,"This is a Test  Description, for every item in the list.",,800,1600,50.00%,4800,9600,0,6,,,,1/18/2025
51,Lasuki Brake shoes,2,"This is a Test  Description, for every item in the list.",,850,1600,46.88%,1700,3200,0,2,,,,1/18/2025
52,NK Brake shoes 2288,7,"This is a Test  Description, for every item in the list.",,800,1600,50.00%,5600,11200,0,7,,,,1/18/2025
53,Lasuki Brake shoes 2288,4,"This is a Test  Description, for every item in the list.",,850,1600,46.88%,3400,6400,0,4,,,,1/18/2025
54,Lasuki Brake shoes 9910,2,"This is a Test  Description, for every item in the list.",,800,1600,50.00%,1600,3200,0,2,,,,1/18/2025
55,DAH Brake shoes 2288,1,"This is a Test  Description, for every item in the list.",,1000,2500,60.00%,1000,2500,0,1,,,,1/18/2025
56,Lasuki Brake shoes 9921,1,"This is a Test  Description, for every item in the list.",,3500,5000,30.00%,3500,5000,0,1,,,,1/18/2025
57,Passo Brake Shoes Rear,1,"This is a Test  Description, for every item in the list.",,700,1600,56.25%,700,1600,0,1,,,,1/18/2025
58,VXR 7728,2,"This is a Test  Description, for every item in the list.",,700,1600,56.25%,1400,3200,0,2,,,,1/18/2025
59,Passo UP Brake shoes 9919,1,"This is a Test  Description, for every item in the list.",,850,1500,43.33%,850,1500,0,1,,,,1/18/2025
60,Lasuki Brake shoes Vigo 3 door,6,"This is a Test  Description, for every item in the list.",,7000,11000,36.36%,42000,66000,0,6,,,,1/18/2025
61,Silencer Body Foundation,4,"This is a Test  Description, for every item in the list.",,250,400,37.50%,1000,1600,0,4,,,,1/18/2025
62,Dishpad graft,6,"This is a Test  Description, for every item in the list.",,1000,2000,50.00%,6000,12000,0,6,,,,1/18/2025
63,Khada Rat corolla,5,"This is a Test  Description, for every item in the list.",,250,400,37.50%,1250,2000,0,5,,,,1/18/2025
64,Dishpad VXR 9959,2,"This is a Test  Description, for every item in the list.",,750,1400,46.43%,1500,2800,0,2,,,,1/18/2025
65,Dishpad Corolla 2023,5,"This is a Test  Description, for every item in the list.",,750,1400,46.43%,3750,7000,0,5,,,,1/18/2025
66,Brake shoes XLI + OD 2183,6,"This is a Test  Description, for every item in the list.",,800,1500,46.67%,4800,9000,0,6,,,,1/18/2025
67,Brake shoes Vitz DM 2174,2,"This is a Test  Description, for every item in the list.",,800,1500,46.67%,1600,3000,0,2,,,,1/18/2025
68,Brake shoes VXR 9027,1,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,600,1000,0,1,,,,1/18/2025
69,Brake shoes GLI 2254,1,"This is a Test  Description, for every item in the list.",,1000,3500,71.43%,1000,3500,0,1,,,,1/18/2025
70,Brake shoes Passo 9013,3,"This is a Test  Description, for every item in the list.",,700,1400,50.00%,2100,4200,0,3,,,,1/18/2025
71,Brake shoes XLI rear 2204,2,"This is a Test  Description, for every item in the list.",,1000,3500,71.43%,2000,7000,0,2,,,,1/18/2025
72,Brake shoes DM Passo 9039,1,"This is a Test  Description, for every item in the list.",,700,1400,50.00%,700,1400,0,1,,,,1/18/2025
73,Brake shoes Honda city 2010,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
74,Brake shoes Graft Vitz 2174,1,"This is a Test  Description, for every item in the list.",,1000,2500,60.00%,1000,2500,0,1,,,,1/18/2025
75,Dishpad Litace,2,"This is a Test  Description, for every item in the list.",,2800,4000,30.00%,5600,8000,0,2,,,,1/18/2025
76,Injuction Foundation Litace,2,"This is a Test  Description, for every item in the list.",,1400,2400,41.67%,2800,4800,0,2,,,,1/18/2025
77,Lasser Vigo BR,1,"This is a Test  Description, for every item in the list.",,6500,9000,27.78%,6500,9000,0,1,,,,1/18/2025
78,Lasser Vigo BR UPMD,1,"This is a Test  Description, for every item in the list.",,7000,10000,30.00%,7000,10000,0,1,,,,1/18/2025
79,Z-link Vitz UPMD,1,"This is a Test  Description, for every item in the list.",,1500,2000,25.00%,1500,2000,0,1,,,,1/18/2025
80,Gadi Cross 1096,3,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,3000,4500,0,3,,,,1/18/2025
81,Tube Bush Vitz DM,1,"This is a Test  Description, for every item in the list.",,2500,4000,37.50%,2500,4000,0,1,,,,1/18/2025
82,Shock modling RBI,1,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,1000,1500,0,1,,,,1/18/2025
83,End Hiace,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
84,Chimta Bush Mix,6,"This is a Test  Description, for every item in the list.",,600,900,33.33%,3600,5400,0,6,,,,1/18/2025
85,Khula Rat bush T-2,4,"This is a Test  Description, for every item in the list.",,400,800,50.00%,1600,3200,0,4,,,,1/18/2025
86,Qail Premio UPM,3,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,7500,10500,0,3,,,,1/18/2025
87,China Magic,7,"This is a Test  Description, for every item in the list.",,90,150,40.00%,630,1050,0,7,,,,1/18/2025
88,Fuel Pump Denso,3,"This is a Test  Description, for every item in the list.",,3500,4500,22.22%,10500,13500,0,3,,,,1/18/2025
89,Shapat Cross 21 wo,2,"This is a Test  Description, for every item in the list.",,1200,2000,40.00%,2400,4000,0,2,,,,1/18/2025
90,Wheel Bearing LTS,4,"This is a Test  Description, for every item in the list.",,500,1000,50.00%,2000,4000,0,4,,,,1/18/2025
91,Front Wheel Bearing LTS,3,"This is a Test  Description, for every item in the list.",,600,1200,50.00%,1800,3600,0,3,,,,1/18/2025
92,Land cruiser front bearing,15,"This is a Test  Description, for every item in the list.",,1450,2000,27.50%,21750,30000,0,15,,,,1/18/2025
93,Bearing JP 620,7,"This is a Test  Description, for every item in the list.",,500,800,37.50%,3500,5600,0,7,,,,1/18/2025
94,Wheel Bearing 3562,2,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,2000,3000,0,2,,,,1/18/2025
95,Thris Bearing,2,"This is a Test  Description, for every item in the list.",,900,1700,47.06%,1800,3400,0,2,,,,1/18/2025
96,Land cruiser front bearing 30305,1,"This is a Test  Description, for every item in the list.",,1450,2000,27.50%,1450,2000,0,1,,,,1/18/2025
97,Gear bearing 30 d,1,"This is a Test  Description, for every item in the list.",,5500,7000,21.43%,5500,7000,0,1,,,,1/18/2025
98,BWD 3812,2,"This is a Test  Description, for every item in the list.",,1000,2000,50.00%,2000,4000,0,2,,,,1/18/2025
99,BWD 412 OD,1,"This is a Test  Description, for every item in the list.",,1200,2200,45.45%,1200,2200,0,1,,,,1/18/2025
100,BWD Vitz 22 RBS,2,"This is a Test  Description, for every item in the list.",,1450,2200,34.09%,2900,4400,0,2,,,,1/18/2025
101,Thris Bearing GLI,1,"This is a Test  Description, for every item in the list.",,3500,5000,30.00%,3500,5000,0,1,,,,1/18/2025
102,Gear Bearing 17887,1,"This is a Test  Description, for every item in the list.",,1500,3000,50.00%,1500,3000,0,1,,,,1/18/2025
103,Thris Bearing 60 TB,1,"This is a Test  Description, for every item in the list.",,4500,6000,25.00%,4500,6000,0,1,,,,1/18/2025
104,Chimta Bush XLI,3,"This is a Test  Description, for every item in the list.",,350,600,41.67%,1050,1800,0,3,,,,1/18/2025
105,Break Bati Bulb,2,"This is a Test  Description, for every item in the list.",,500,800,37.50%,1000,1600,0,2,,,,1/18/2025
106,Vigo Dishpad mk,2,"This is a Test  Description, for every item in the list.",,5500,8000,31.25%,11000,16000,0,2,,,,1/18/2025
107,Lasuki Dishpad 19N,4,"This is a Test  Description, for every item in the list.",,4000,5500,27.27%,16000,22000,0,4,,,,1/18/2025
108,Lasuki Dishpad VA19N,6,"This is a Test  Description, for every item in the list.",,4000,5500,27.27%,24000,33000,0,6,,,,1/18/2025
109,Lasuki Dishpad VA73N,4,"This is a Test  Description, for every item in the list.",,3500,4500,22.22%,14000,18000,0,4,,,,1/18/2025
110,Japani Dishpad VA77N,1,"This is a Test  Description, for every item in the list.",,2800,3500,20.00%,2800,3500,0,1,,,,1/18/2025
111,Toyota Dishpad Rivo + Vigo,24,"This is a Test  Description, for every item in the list.",,2800,5000,44.00%,67200,120000,0,24,,,,1/18/2025
112,Heater Timer,5,"This is a Test  Description, for every item in the list.",,250,500,50.00%,1250,2500,0,5,,,,1/18/2025
113,Goda I cell mix,10,"This is a Test  Description, for every item in the list.",,150,300,50.00%,1500,3000,0,10,,,,1/18/2025
114,mix I cell,10,"This is a Test  Description, for every item in the list.",,150,300,50.00%,1500,3000,0,10,,,,1/18/2025
115,mix I cell IK2,21,"This is a Test  Description, for every item in the list.",,300,1000,70.00%,6300,21000,0,21,,,,1/18/2025
116,shock shak I cell mix,20,"This is a Test  Description, for every item in the list.",,80,150,46.67%,1600,3000,0,20,,,,1/18/2025
117,Kame I cell,12,"This is a Test  Description, for every item in the list.",,250,400,37.50%,3000,4800,0,12,,,,1/18/2025
118,Hub I cell Fr 96 corolla,1,"This is a Test  Description, for every item in the list.",,250,500,50.00%,250,500,0,1,,,,1/18/2025
119,I cell 35496 INN2,12,"This is a Test  Description, for every item in the list.",,250,400,37.50%,3000,4800,0,12,,,,1/18/2025
120,I cell 35528 INN + N22,12,"This is a Test  Description, for every item in the list.",,250,400,37.50%,3000,4800,0,12,,,,1/18/2025
121,Front I cell Land cruiser,10,"This is a Test  Description, for every item in the list.",,250,500,50.00%,2500,5000,0,10,,,,1/18/2025
122,Qali Boot XLI,5,"This is a Test  Description, for every item in the list.",,200,400,50.00%,1000,2000,0,5,,,,1/18/2025
123,Qali Boot Land Cruiser,114,"This is a Test  Description, for every item in the list.",,25,50,50.00%,2850,5700,0,114,,,,1/18/2025
124,wheel isted STUD Land cruiser,28,"This is a Test  Description, for every item in the list.",,150,300,50.00%,4200,8400,0,28,,,,1/18/2025
125,Silencer Foundation,7,"This is a Test  Description, for every item in the list.",,70,150,53.33%,490,1050,0,7,,,,1/18/2025
126,Wall Jane Boot,10,"This is a Test  Description, for every item in the list.",,50,100,50.00%,500,1000,0,10,,,,1/18/2025
127,End Boot,6,"This is a Test  Description, for every item in the list.",,40,80,50.00%,240,480,0,6,,,,1/18/2025
128,Gear Oil,1,"This is a Test  Description, for every item in the list.",,800,1000,20.00%,800,1000,0,1,,,,1/18/2025
129,Gear Oil SAE90,1,"This is a Test  Description, for every item in the list.",,650,850,23.53%,650,850,0,1,,,,1/18/2025
130,Tie Rat OD + GLI,5,"This is a Test  Description, for every item in the list.",,3000,5000,40.00%,15000,25000,0,5,,,,1/18/2025
131,Degi Tala,1,"This is a Test  Description, for every item in the list.",,1400,2500,44.00%,1400,2500,0,1,,,,1/18/2025
132,Clutch Kit 1316,9,"This is a Test  Description, for every item in the list.",,250,400,37.50%,2250,3600,0,9,,,,1/18/2025
133,Battery Terminal small,7,"This is a Test  Description, for every item in the list.",,60,100,40.00%,420,700,0,7,,,,1/18/2025
134,Battery Terminal Large,7,"This is a Test  Description, for every item in the list.",,80,150,46.67%,560,1050,0,7,,,,1/18/2025
135,3 door engine washell Washer,10,"This is a Test  Description, for every item in the list.",,70,100,30.00%,700,1000,0,10,,,,1/18/2025
136,Vitz engine washell Washer,3,"This is a Test  Description, for every item in the list.",,80,150,46.67%,240,450,0,3,,,,1/18/2025
137,OD + Corolla Radiator Lid Dakan,3,"This is a Test  Description, for every item in the list.",,400,500,20.00%,1200,1500,0,3,,,,1/18/2025
138,Plug org GLI + NI,5,"This is a Test  Description, for every item in the list.",,2500,4000,37.50%,12500,20000,0,5,,,,1/18/2025
139,plug NJK,1,"This is a Test  Description, for every item in the list.",,2000,4000,50.00%,2000,4000,0,1,,,,1/18/2025
140,Shahe Bati Premio UPMD,1,"This is a Test  Description, for every item in the list.",,500,1000,50.00%,500,1000,0,1,,,,1/18/2025
141,Hid head Light,1,"This is a Test  Description, for every item in the list.",,700,2500,72.00%,700,2500,0,1,,,,1/18/2025
142,Fog Light Bulb,3,"This is a Test  Description, for every item in the list.",,200,400,50.00%,600,1200,0,3,,,,1/18/2025
143,Axel Con Litace,10,"This is a Test  Description, for every item in the list.",,150,300,50.00%,1500,3000,0,10,,,,1/18/2025
144,Axel Con 3 door,12,"This is a Test  Description, for every item in the list.",,150,300,50.00%,1800,3600,0,12,,,,1/18/2025
145,Timing Bearing,1,"This is a Test  Description, for every item in the list.",,4500,6000,25.00%,4500,6000,0,1,,,,1/18/2025
146,Tanki Lid Cup T-2 + 3 door,5,"This is a Test  Description, for every item in the list.",,400,600,33.33%,2000,3000,0,5,,,,1/18/2025
147,Clutch Kit 1300,11,"This is a Test  Description, for every item in the list.",,300,500,40.00%,3300,5500,0,11,,,,1/18/2025
148,H4 bulb,7,"This is a Test  Description, for every item in the list.",,350,500,30.00%,2450,3500,0,7,,,,1/18/2025
149,End Tie Rat 332,2,"This is a Test  Description, for every item in the list.",,6000,9000,33.33%,12000,18000,0,2,,,,1/18/2025
150,Fuel Pump 660,1,"This is a Test  Description, for every item in the list.",,1200,2400,50.00%,1200,2400,0,1,,,,1/18/2025
151,Land Cruiser rm bush,3,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,7500,10500,0,3,,,,1/18/2025
152,Fuel motor T40,2,"This is a Test  Description, for every item in the list.",,2500,4000,37.50%,5000,8000,0,2,,,,1/18/2025
153,Control Rat Bush,1,"This is a Test  Description, for every item in the list.",,1600,2500,36.00%,1600,2500,0,1,,,,1/18/2025
154,Fuel Motor Shinix,6,"This is a Test  Description, for every item in the list.",,2000,3000,33.33%,12000,18000,0,6,,,,1/18/2025
155,Break washer washal,8,"This is a Test  Description, for every item in the list.",,300,600,50.00%,2400,4800,0,8,,,,1/18/2025
156,Mirror Handle,6,"This is a Test  Description, for every item in the list.",,300,600,50.00%,1800,3600,0,6,,,,1/18/2025
157,Tube Bush XLI Rb1,2,"This is a Test  Description, for every item in the list.",,5500,6500,15.38%,11000,13000,0,2,,,,1/18/2025
158,Tanki Lid Cup Corolla,7,"This is a Test  Description, for every item in the list.",,500,1000,50.00%,3500,7000,0,7,,,,1/18/2025
159,Clutch Kit ldr(58),4,"This is a Test  Description, for every item in the list.",,400,700,42.86%,1600,2800,0,4,,,,1/18/2025
160,Chimta Bush Vitz UPMD,5,"This is a Test  Description, for every item in the list.",,750,1000,25.00%,3750,5000,0,5,,,,1/18/2025
161,shock Shak Bush Rear GLI,3,"This is a Test  Description, for every item in the list.",,250,500,50.00%,750,1500,0,3,,,,1/18/2025
162,Chimta Bush 96 Corolla,3,"This is a Test  Description, for every item in the list.",,600,900,33.33%,1800,2700,0,3,,,,1/18/2025
163,Chimta Bush Vitz DM,5,"This is a Test  Description, for every item in the list.",,600,900,33.33%,3000,4500,0,5,,,,1/18/2025
164,Wall Jane Corolla 96,1,"This is a Test  Description, for every item in the list.",,700,1600,56.25%,700,1600,0,1,,,,1/18/2025
165,Chimta Bush GLI + OD,10,"This is a Test  Description, for every item in the list.",,900,1400,35.71%,9000,14000,0,10,,,,1/18/2025
166,led lights,2,"This is a Test  Description, for every item in the list.",,400,800,50.00%,800,1600,0,2,,,,1/18/2025
167,silencer foundation passo,12,"This is a Test  Description, for every item in the list.",,75,150,50.00%,900,1800,0,12,,,,1/18/2025
168,Axle washel XLI,12,"This is a Test  Description, for every item in the list.",,80,150,46.67%,960,1800,0,12,,,,1/18/2025
169,Axle washel 2C,6,"This is a Test  Description, for every item in the list.",,80,150,46.67%,480,900,0,6,,,,1/18/2025
170,plug chamber suzuki,4,"This is a Test  Description, for every item in the list.",,400,600,33.33%,1600,2400,0,4,,,,1/18/2025
171,Heater 103 japani,10,"This is a Test  Description, for every item in the list.",,700,1000,30.00%,7000,10000,0,10,,,,1/18/2025
172,Tanki cup suzuki,1,"This is a Test  Description, for every item in the list.",,350,500,30.00%,350,500,0,1,,,,1/18/2025
173,Water tea,2,"This is a Test  Description, for every item in the list.",,400,700,42.86%,800,1400,0,2,,,,1/18/2025
174,nasa gear oil,3,"This is a Test  Description, for every item in the list.",,700,1000,30.00%,2100,3000,0,3,,,,1/18/2025
175,kixx oil,1,"This is a Test  Description, for every item in the list.",,1450,1900,23.68%,1450,1900,0,1,,,,1/18/2025
176,Wheel Cylinder genuine,5,"This is a Test  Description, for every item in the list.",,600,1200,50.00%,3000,6000,0,5,,,,1/18/2025
177,generator pipe 3L,5,"This is a Test  Description, for every item in the list.",,250,500,50.00%,1250,2500,0,5,,,,1/18/2025
178,sunroof mukhi,12,"This is a Test  Description, for every item in the list.",,40,100,60.00%,480,1200,0,12,,,,1/18/2025
179,Wam Bush 3 door,13,"This is a Test  Description, for every item in the list.",,20,50,60.00%,260,650,0,13,,,,1/18/2025
180,Fan Motor complete G corolla,2,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,5000,7000,0,2,e,,,1/18/2025
181,tawa Hiace,1,"This is a Test  Description, for every item in the list.",,4500,7000,35.71%,4500,7000,0,1,,,,1/18/2025
182,tawa VXR,2,"This is a Test  Description, for every item in the list.",,1200,2400,50.00%,2400,4800,0,2,,,,1/18/2025
183,tawa Vitz,2,"This is a Test  Description, for every item in the list.",,3500,5000,30.00%,7000,10000,0,2,,,,1/18/2025
184,tawa GLI,1,"This is a Test  Description, for every item in the list.",,5000,8000,37.50%,5000,8000,0,1,,,,1/18/2025
185,Ispendel Vitz + G corolla,7,"This is a Test  Description, for every item in the list.",,3500,5500,36.36%,24500,38500,0,7,,,,1/18/2025
186,chor box hiace,1,"This is a Test  Description, for every item in the list.",,1500,2500,40.00%,1500,2500,0,1,,,,1/18/2025
187,tawa hiace + vitz,5,"This is a Test  Description, for every item in the list.",,1500,2000,25.00%,7500,10000,0,5,,,,1/18/2025
188,finger TZ,1,"This is a Test  Description, for every item in the list.",,9000,16000,43.75%,9000,16000,0,1,,,,1/18/2025
189,tawa OD,1,"This is a Test  Description, for every item in the list.",,2500,4000,37.50%,2500,4000,0,1,,,,1/18/2025
190,Rear garder OD,1,"This is a Test  Description, for every item in the list.",,1500,3000,50.00%,1500,3000,0,1,,,,1/18/2025
191,Drum Corolla 98,1,"This is a Test  Description, for every item in the list.",,4500,6000,25.00%,4500,6000,0,1,,,,1/18/2025
192,Rear Drum awagai,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
193,ispendel Litace right side,1,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,3000,4500,0,1,,,,1/18/2025
194,Drum Premio 2001,1,"This is a Test  Description, for every item in the list.",,5000,7500,33.33%,5000,7500,0,1,,,,1/18/2025
195,drum suzuki,1,"This is a Test  Description, for every item in the list.",,2500,4000,37.50%,2500,4000,0,1,,,,1/18/2025
196,rear guarder honda civic,1,"This is a Test  Description, for every item in the list.",,3000,6000,50.00%,3000,6000,0,1,,,,1/18/2025
197,balance rod rat VXR,1,"This is a Test  Description, for every item in the list.",,2000,4000,50.00%,2000,4000,0,1,,,,1/18/2025
198,finger shehzore,1,"This is a Test  Description, for every item in the list.",,7500,10500,28.57%,7500,10500,0,1,,,,1/18/2025
199,complete wiring 1kz,1,"This is a Test  Description, for every item in the list.",,60000,80000,25.00%,60000,80000,0,1,,,,1/18/2025
200,clipper TZ UPMD,2,"This is a Test  Description, for every item in the list.",,16000,20000,20.00%,32000,40000,0,2,,,,1/18/2025
201,clipper V8,1,"This is a Test  Description, for every item in the list.",,18000,24000,25.00%,18000,24000,0,1,,,,1/18/2025
202,Clipper GLI,1,"This is a Test  Description, for every item in the list.",,5000,7500,33.33%,5000,7500,0,1,,,,1/18/2025
203,complete shak shock UPMD vitz,1,"This is a Test  Description, for every item in the list.",,7000,10000,30.00%,7000,10000,0,1,,,,1/18/2025
204,corolla engine foundation,6,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,6000,9000,0,6,,,,1/18/2025
205,spring rear swift,1,"This is a Test  Description, for every item in the list.",,1600,2200,27.27%,1600,2200,0,1,,,,1/18/2025
206,spring G corolla,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
207,spring 5 door front,1,"This is a Test  Description, for every item in the list.",,7500,9000,16.67%,7500,9000,0,1,,,,1/18/2025
208,spring premio front,1,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,3000,4500,0,1,,,,1/18/2025
209,spring corolla 98,1,"This is a Test  Description, for every item in the list.",,800,1400,42.86%,800,1400,0,1,,,,1/18/2025
210,hub swift,1,"This is a Test  Description, for every item in the list.",,8000,11500,30.43%,8000,11500,0,1,,,,1/18/2025
211,goda complete vitz DM,2,"This is a Test  Description, for every item in the list.",,7000,9000,22.22%,14000,18000,0,2,,,,1/18/2025
212,generator bracket vitz,6,"This is a Test  Description, for every item in the list.",,250,500,50.00%,1500,3000,0,6,,,,1/18/2025
213,mood box GLI,2,"This is a Test  Description, for every item in the list.",,4500,6000,25.00%,9000,12000,0,2,,,,1/18/2025
214,handi TZ,1,"This is a Test  Description, for every item in the list.",,1400,1800,22.22%,1400,1800,0,1,,,,1/18/2025
215,spring 96 corolla,1,"This is a Test  Description, for every item in the list.",,2500,3500,28.57%,2500,3500,0,1,,,,1/18/2025
216,chimta bush hiace,40,"This is a Test  Description, for every item in the list.",,150,200,25.00%,6000,8000,0,40,,,,1/18/2025
